npi,name,credential,taxonomy_code,provider_type,address,city,state,zip,lat,lon,tract_fips
1609879881,C. SHANE BUSSLER,M.D.,207R00000X,PCP,,GAINESVILLE,GA,30501,34.305909,-83.824516,13139000602
1780687954,HENRY PURVIS,M.D.,207Q00000X,PCP,,STATESBORO,GA,30458,32.440687,-81.772762,13031110301
1457354631,HUBERT SMITH,M.D.,207Q00000X,PCP,,STATESBORO,GA,30458,32.442735,-81.774849,13031110301
1316940554,RICHARD GOMEZ,M.D.,207R00000X,PCP,,GAINESVILLE,GA,30501,34.306883,-83.824789,13139000602
1598768756,MEGHAN COOK,MD,207R00000X,PCP,,ATHENS,GA,30606,33.944998,-83.419438,13219030201
1629071873,GARY DALLEY,M.D.,207R00000X,PCP,,BRASELTON,GA,30517,34.139232,-83.782232,13157010108
1427051556,GYANENDRA SHARMA,"M.B.B.S., M.D.",207R00000X,PCP,,AUGUSTA,GA,30912,33.469822,-81.98872,13245011000
1972506012,PAULA BOYLE,MD,207Q00000X,PCP,,YOUNG HARRIS,GA,30582,34.958123,-83.868851,13281960100
1851394969,CARLA BRANCH,M.D.,207Q00000X,PCP,,STATESBORO,GA,30458,32.439121,-81.773011,13031110301
1841293958,JOHN HENSON,M.D.,207R00000X,PCP,,GAINESVILLE,GA,30501,34.309205,-83.827384,13139000602
1003819111,JAMES JACKSON,M.D.,207R00000X,PCP,,GAINESVILLE,GA,30501,34.30593,-83.824208,13139000602
1356344477,CAROL HECTOR,M.D.,207R00000X,PCP,,ALPHARETTA,GA,30005,34.078958,-84.229996,13117130603
1225031974,DONNA-MARIE BROWN,M.D.,208000000X,PCP,,CONYERS,GA,30094,33.611502,-84.066777,13247060204
1780687699,DEBBIE PULLEY,CPM,176B00000X,PCP,,LILBURN,GA,30047,33.863887,-84.07226,13135050425
1033112958,ROBERTO VILLANUEVA,M.D.,207R00000X,PCP,,GAINESVILLE,GA,30501,34.306005,-83.825698,13139000602
1780687756,DANIEL HENSON,M.D.,207R00000X,PCP,,GAINESVILLE,GA,30501,34.305499,-83.824165,13139000602
