npi,name,credential,taxonomy_code,provider_type,address,city,state,zip,lat,lon,tract_fips
1770586976,COUNTY OF FRANKLIN,,261QP2300X,PRIMARY_CARE_CLINIC,,OTTAWA,KS,66067,38.615466,-95.275796,20059954500
1831192921,MINDI GARNER,D.O.,207R00000X,PCP,,PITTSBURG,KS,66762,37.396628,-94.709673,20037956900
1801899604,PRAFUL MEHTA,M.D.,207Q00000X,PCP,,WICHITA,KS,67205,37.764119,-97.427458,20173010302
1831192681,ROBYN BURWELL,"A.R.N.P., PMHNP-BC",363LP0808X,PCP,,PHILLIPSBURG,KS,67661,39.762894,-99.333995,20147475200
1790788511,DENNIS SEWELL,PA-C,363A00000X,PCP,,CONCORDIA,KS,66901,39.553451,-97.655744,20029977100
1578566311,DANA JORDAN,P.A.,363A00000X,PCP,,EL DORADO,KS,67042,37.821455,-96.852707,20015020101
1811990658,TRAVIS JORDAN,D.O.,207Q00000X,PCP,,FORT RILEY,KS,66442,39.061153,-96.788222,20161001002
1871596601,DON NEBELUNG,PA-C,363A00000X,PCP,,CLAY CENTER,KS,67432,39.38377,-97.128649,20027458100
1144223066,EVAN SWANSON,M.D.,207Q00000X,PCP,,OTTAWA,KS,66067,38.613609,-95.274197,20059954500
1053314971,TIMOTHY PENNER,M.D.,207Q00000X,PCP,,CLAY CENTER,KS,67432,39.383465,-97.128205,20027458100
1770586570,DEBRA DAVIS,P.A.,363A00000X,PCP,,WICHITA,KS,67206,37.703815,-97.225042,20173007201
1902809775,CHANCE WILLIAMS,M.D.,207Q00000X,PCP,,CLAY CENTER,KS,67432,39.384782,-97.128057,20027458100
1336142116,KATHRYN WELCH,PA-C,363AM0700X,PCP,,WICHITA,KS,67211,37.668096,-97.31527,20173003800
1306849161,JUSTIN POORE,D.O.,207Q00000X,PCP,,CONCORDIA,KS,66901,39.552667,-97.658093,20029977100
1871596684,TIMOTHY KOEHLER,D.O.,207Q00000X,PCP,,WICHITA,KS,67205,37.763708,-97.426137,20173010302
1073516035,KENT ERICKSON,MD,207Q00000X,PCP,,CLAY CENTER,KS,67432,39.383933,-97.126535,20027458100
1689677528,MARIAN NELSON,M.D.,207Q00000X,PCP,,CLAY CENTER,KS,67432,39.385884,-97.128208,20027458100
1881697720,HELENA JINDRA,M.D.,207Q00000X,PCP,,CONCORDIA,KS,66901,39.549998,-97.657409,20029977100
1740283696,CARY MURPHY,M.D.,207Q00000X,PCP,,CLAY CENTER,KS,67432,39.385276,-97.128117,20027458100
1366445215,ALICE GRIFFITT,"MSN, ARNP, BC, CNS",363LP0808X,PCP,,GREAT BEND,KS,67530,38.391857,-98.774085,20009971801
1831192798,JOHN KELLEY,M.D.,207Q00000X,PCP,,CLAY CENTER,KS,67432,39.384515,-97.128245,20027458100
1801899612,MELISSA CRAWFORD,PA,363A00000X,PCP,,SALINA,KS,67401,38.825485,-97.643052,20169001100
1386647196,RICHARD EGELHOF,M.D.,207Q00000X,PCP,,WICHITA,KS,67205,37.763081,-97.426183,20173010302
1205839875,JOHN SAXER,M.D.,207Q00000X,PCP,,OVERLAND PARK,KS,66224,38.858223,-94.631551,20091053429
1669475224,SARA HICKS,M.D.,207Q00000X,PCP,,LENEXA,KS,66214,38.965683,-94.722698,20091051904
