npi,name,credential,taxonomy_code,provider_type,address,city,state,zip,lat,lon,tract_fips
1831192830,CLARA PARKS,DO,207Q00000X,PCP,,UNION,MO,63084,38.446951,-91.021154,29071800501
1083617104,LEIGH HAMPTON,FNP,363LF0000X,PCP,,CAPE GIRARDEAU,MO,63703,37.305469,-89.51692,29031881400
1114920295,DARREN KILLEN,MD,207Q00000X,PCP,,KANSAS CITY,MO,64114,38.96115,-94.594151,29095010105
1104829282,SIDNEY CANTRELL,D.O.,207Q00000X,PCP,,COLUMBIA,MO,65203,38.934472,-92.365851,29019001702
1467455568,BRENDA DODDS,"RN, FNP-C, FNP",363LF0000X,PCP,,MARSHALL,MO,65340,39.16221,-93.242921,29195090200
1801899661,CONNIE DUNN,"APRN,CDE,BC-ADM",363LG0600X,PCP,,COLUMBIA,MO,65201,38.939288,-92.305614,29019001602
1821091810,JAMES DELINE,M.D.,207Q00000X,PCP,,MACON,MO,63552,39.746134,-92.462511,29121960300
1457354276,DAVID PRELUTSKY,MD,207R00000X,PCP,,SAINT LOUIS,MO,63139,38.60965,-90.291887,29510127200
1437152303,PAUL RAINS,D.O.,207Q00000X,PCP,,ELLINGTON,MO,63638,37.240806,-90.959623,29179380200
1073516746,JENNIFER MYERS,ANP,363LA2200X,PCP,,SAINT LOUIS,MO,63110,38.617705,-90.256317,29510112100
1386647055,KARIN BARNES,M.D.,208000000X,PCP,,CAPE GIRARDEAU,MO,63703,37.305723,-89.516658,29031881400
1477556215,PAUL JENKINS,PA-C,363A00000X,PCP,,KANSAS CITY,MO,64111,39.056675,-94.591218,29095004600
1134122906,MICHAEL QUINLAN,M.D.,207R00000X,PCP,,MEXICO,MO,65265,39.170332,-91.887926,29007950200
1609879337,MELISSA WHITSON,D.O.,208000000X,PCP,,SAINT LOUIS,MO,63109,38.587205,-90.293547,29510102200
1467455964,EDMOND WEISBART,MD,207R00000X,PCP,,SAINT LOUIS,MO,63108,38.643097,-90.254709,29510119300
1538162037,KAREN BEATHAM,D.O.,207Q00000X,PCP,,KANSAS CITY,MO,64137,38.927954,-94.541907,29095010204
1245233741,KENDEL KLEIN,,207Q00000X,PCP,,MOUNT VERNON,MO,65712,37.103697,-93.799328,29109470201
1982607578,RAYMOND BOUREY,MD,207R00000X,PCP,,SAINT LOUIS,MO,63110,38.619868,-90.256208,29510112100
1972506533,BRUCE PRESTON,MD,207Q00000X,PCP,,WEST PLAINS,MO,65775,36.727753,-91.872018,29091090600
1700889367,CHERYL THOMPSON,M.D.,207Q00000X,PCP,,MARSHALL,MO,65340,39.159954,-93.246203,29195090200
1306849948,KAREN EPPERSON,M.D,208D00000X,PCP,,LEES SUMMIT,MO,64081,38.914319,-94.40674,29095013612
1588667166,DEANNA DONNELL,CNM,367A00000X,PCP,,MARSHALL,MO,65340,39.159482,-93.246304,29195090200
1922001569,SHIRLEY HITT,FNP,363LF0000X,PCP,,ROLLA,MO,65401,37.94662,-91.762164,29161891000
1164425575,JOHN CARSON,D.O.,207Q00000X,PCP,,RICHLAND,MO,65556,37.854284,-92.398058,29029950900
1235132622,CHRISTOPHER ZIELINSKI,DO,207Q00000X,PCP,,LEES SUMMIT,MO,64086,38.945729,-94.289516,29095013918
1023011343,MICHAEL MCVICKER,FNP-BC,363LF0000X,PCP,,MOUNTAIN VIEW,MO,65548,36.988647,-91.711313,29091090300
1104829498,"NORTHEAST MISSOURI HEALTH COUNCIL, INC.",,261QF0400X,FQHC,,KIRKSVILLE,MO,63501,40.192317,-92.587262,29001950200
1235132648,TERESITA MANUBAY,MD,208000000X,PCP,,KENNETT,MO,63857,36.242622,-90.047852,29069360900
1639172976,JULIE LAMBERT,APN,363LF0000X,PCP,,KANSAS CITY,MO,64108,39.083613,-94.586465,29095015300
1790787059,THOMAS THOMAS,M.D.,207Q00000X,PCP,,LIBERTY,MO,64068,39.244243,-94.419557,29047021602
1043212228,SALLY BOMAR,M.D.,207Q00000X,PCP,,MARYVILLE,MO,64468,40.343364,-94.875184,29147470200
1831191014,JEREMY DUNBARR,P.A.,363A00000X,PCP,,SAINT LOUIS,MO,63109,38.584018,-90.292451,29510102200
1154325496,JESSICA TETER,MD,207R00000X,PCP,,COLUMBIA,MO,65201,38.936436,-92.303575,29019001602
1952303109,DAVID VOSHALL,MD,207R00000X,PCP,,BLUE SPRINGS,MO,64014,39.01707,-94.260209,29095014122
1922000272,REX LEE,D.O.,207Q00000X,PCP,,KIRKSVILLE,MO,63501,40.192735,-92.587478,29001950200
1235131574,CHRISTINE MOORE,DO,207Q00000X,PCP,,RAYMORE,MO,64083,38.803162,-94.452825,29037060309
1417959644,JAMES GARB,MD,208000000X,PCP,,COLUMBIA,MO,65201,38.937277,-92.303489,29019001602
1801898010,JESSICA DOIRON,ANP,363LA2200X,PCP,,SAINT LOUIS,MO,63110,38.619083,-90.258326,29510112100
1023010295,GERIANNE BLISS,M.D.,207Q00000X,PCP,,WARRENSBURG,MO,64093,38.768607,-93.726983,29101960102
1770587057,BRADFORD CARPER,DO,207R00000X,PCP,,WARRENSBURG,MO,64093,38.768667,-93.728585,29101960102
1912901299,J ASTIK,MD,207R00000X,PCP,,WARRENSBURG,MO,64093,38.764726,-93.729028,29101960102
1073517900,MICHAEL DUDENHOEFFER,DO,207Q00000X,PCP,,JEFFERSON CITY,MO,65101,38.545962,-92.152159,29051020200
1922002864,JOSEPH RAKESTRAW,D.O.,207Q00000X,PCP,,JEFFERSON CITY,MO,65109,38.575555,-92.243903,29051020600
1316941180,PATRICK DAWSON,M.D.,207Q00000X,PCP,,MARYVILLE,MO,64468,40.342266,-94.873845,29147470200
1467456392,ROBERT ROBBINS,D.O.,207Q00000X,PCP,,CHARLESTON,MO,63834,36.922108,-89.334282,29133950100
1659375525,STUART SMITH,DO,207R00000X,PCP,,WARRENSBURG,MO,64093,38.766037,-93.728089,29101960102
1013911999,JOHN CASCONE,M.D.,207R00000X,PCP,,COLUMBIA,MO,65203,38.93484,-92.363113,29019001702
1669476495,WILLIAM JOHNSON,MD,208000000X,PCP,,SAINT LOUIS,MO,63110,38.617835,-90.255981,29510112100
1669476354,JOHN FEUERBACHER,M.D.,207Q00000X,PCP,,MARYVILLE,MO,64468,40.342901,-94.872742,29147470200
1174527873,PATRICK HARR,M.D.,207Q00000X,PCP,,SHELL KNOB,MO,65747,36.614933,-93.626866,29009960102
1588668297,KANTI HAVALDAR,M.D.,207R00000X,PCP,,MARYVILLE,MO,64468,40.344582,-94.873956,29147470200
1841294535,JANICE MCGOVNEY,M.D.,207R00000X,PCP,,KANSAS CITY,MO,64118,39.213693,-94.575994,29047020300
